timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2015-01-01T00:00:00.000Z";"2015-01-01T23:59:59.999Z";"2015-01-01T00:04:00.000Z";"2015-01-01T23:44:00.000Z";"2781";320.4349975586;320.4349975586;314.0029907227;314.2489929199;8036550;4297535768.18;"2015-01-01T23:59:59.999Z"
"2014-12-31T00:00:00.000Z";"2014-12-31T23:59:59.999Z";"2014-12-31T23:59:01.000Z";"2014-12-31T03:29:01.000Z";"2781";310.9140014648;320.1929931641;310.2109985352;320.1929931641;13942900;4377510594.68;"2014-12-31T23:59:59.999Z"
"2014-12-30T00:00:00.000Z";"2014-12-30T23:59:59.999Z";"2014-12-30T04:09:01.000Z";"2014-12-30T11:24:00.000Z";"2781";312.7189941406;314.8089904785;309.3729858398;310.7369995117;12528300;4247060094.9;"2014-12-30T23:59:59.999Z"
"2014-12-29T00:00:00.000Z";"2014-12-29T23:59:59.999Z";"2014-12-29T01:09:01.000Z";"2014-12-29T23:54:01.000Z";"2781";317.7009887695;320.266998291;312.3070068359;312.6700134277;12302500;4272268162.75;"2014-12-29T23:59:59.999Z"
"2014-12-28T00:00:00.000Z";"2014-12-28T23:59:59.999Z";"2014-12-28T00:39:00.000Z";"2014-12-28T11:39:01.000Z";"2781";316.1600036621;320.0280151367;311.0780029297;317.2390136719;11676600;4333389568.3;"2014-12-28T23:59:59.999Z"
"2014-12-27T00:00:00.000Z";"2014-12-27T23:59:59.999Z";"2014-12-27T00:19:00.000Z";"2014-12-27T19:59:00.000Z";"2781";327.5830078125;328.9110107422;312.6300048828;315.8630065918;15185200;4313267196.5;"2014-12-27T23:59:59.999Z"
"2014-12-26T00:00:00.000Z";"2014-12-26T23:59:59.999Z";"2014-12-26T21:24:01.000Z";"2014-12-26T02:59:00.000Z";"2781";319.1520080566;331.4240112305;316.6270141602;327.9240112305;16410500;4476703674.6;"2014-12-26T23:59:59.999Z"
"2014-12-25T00:00:00.000Z";"2014-12-25T23:59:59.999Z";"2014-12-25T00:24:01.000Z";"2014-12-25T19:29:01.000Z";"2781";322.2860107422;322.6700134277;316.9580078125;319.0079956055;9883640;4353789283.2;"2014-12-25T23:59:59.999Z"
"2014-12-24T00:00:00.000Z";"2014-12-24T23:59:59.999Z";"2014-12-24T00:19:02.000Z";"2014-12-24T21:44:01.000Z";"2781";334.3850097656;334.7409973145;321.3569946289;322.533996582;15092300;4400637769.3;"2014-12-24T23:59:59.999Z"
"2014-12-23T00:00:00.000Z";"2014-12-23T23:59:59.999Z";"2014-12-23T21:04:00.000Z";"2014-12-23T02:04:01.000Z";"2781";332.016998291;336.2869873047;329.6019897461;334.5719909668;16574200;4563595537.2;"2014-12-23T23:59:59.999Z"
"2014-12-22T00:00:00.000Z";"2014-12-22T23:59:59.999Z";"2014-12-22T06:19:01.000Z";"2014-12-22T05:04:00.000Z";"2781";321.0679931641;334.1170043945;320.424987793;331.8859863281;22315100;4525705358.95;"2014-12-22T23:59:59.999Z"
